@relation InstanceResultListener

@attribute Key_Dataset {a-b,a-c,a-d,a-e,b-c,b-d,b-e,c-d,c-e,d-e,sinais}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.Logistic,weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.functions.RBFClassifier,weka.classifiers.functions.SMO,weka.classifiers.lazy.IBk,weka.classifiers.rules.JRip,weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-R 1.0E-8 -M -1 -num-decimal-places 4','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-N 2 -R 0.01 -L 1.0E-6 -C 2 -P 1 -E 1 -S 1','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-F 3 -N 2.0 -O 2 -S 1','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {3932117032546553727,-5990607817048210779,-7847475556438394611,-6585883636378691736,-3080186098777067172,-6589312996832147161,1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

a-b,1,1,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,15,1,0,93.75,6.25,0,0.875,0.064617,0.250143,12.979428,50.215504,15.914196,19.778904,-3.864708,0.994637,1.236181,-0.241544,13.862758,0.866422,1387.466096,0.888889,8,0,0,1,7,0.111111,1,1,0.888889,0.941176,0.881917,0.968254,0.979798,0.9375,0.048611,0.951389,0.0625,0.945313,0.9375,0.937745,0.881917,0.968254,0.971895,0.937255,0.9375,0.052,0.002,0.04,0,40,0,7676,14679,2868,93.75,50,?,?,?
a-b,1,2,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,13,3,0,81.25,18.75,0,0.612903,0.190503,0.433179,38.265605,86.959556,15.914196,982.601978,-966.687782,0.994637,61.412624,-60.417986,9.838001,0.614875,984.644841,0.888889,8,0.285714,2,0.714286,5,0.111111,1,0.8,0.888889,0.842105,0.61807,0.793651,0.746376,0.8125,0.209325,0.790675,0.1875,0.814583,0.8125,0.810223,0.61807,0.77629,0.745097,0.805668,0.8125,0.02,0.001,0.02,0,20,0,7676,14679,2868,81.25,50,?,?,?
a-b,1,3,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0.000003,0.000011,0.000536,0.002143,15.914196,0.000062,15.914135,0.994637,0.000004,0.994633,15.914135,0.994633,1592.779891,1,9,0,0,1,7,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.013,0.001,0.01,0.01,10,10,7676,14679,2868,100,50,?,?,?
a-b,1,4,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0,0.000001,0.000059,0.000234,16.02693,0.000007,16.026923,1.001683,0,1.001683,16.026923,1.001683,1605.392234,1,8,0,0,1,8,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.013,0,0.01,0.01,10,10,7676,14679,2868,100,50,?,?,?
a-b,1,5,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0.000073,0.000274,0.014545,0.054812,16.02693,0.00168,16.02525,1.001683,0.000105,1.001578,16.02525,1.001578,1605.224672,1,8,0,0,1,8,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.018,0.001,0.02,0,20,0,7676,14679,2868,100,50,?,?,?
a-b,1,6,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0.030344,0.120207,6.068787,24.013372,16.02693,0.952444,15.074486,1.001683,0.059528,0.942155,15.074486,0.942155,1509.988076,1,8,0,0,1,8,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.026,0.001,0.03,0,30,0,7676,14679,2868,100,53.125,?,?,?
a-b,1,7,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0.002684,0.007987,0.536723,1.595504,16.02693,0.062695,15.964234,1.001683,0.003918,0.997765,15.964234,0.997765,1599.112812,1,8,0,0,1,8,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.03,0,0.03,0,30,0,7676,14679,2868,100,50,?,?,?
a-b,1,8,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0,0.000001,0.000065,0.000259,16.02693,0.000007,16.026922,1.001683,0,1.001683,16.026922,1.001683,1605.392162,1,8,0,0,1,8,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.032,0.001,0.03,0,30,0,7676,14679,2868,100,50,?,?,?
a-b,1,9,weka.classifiers.functions.Logistic,'-R 1.0E-8 -M -1 -num-decimal-places 4',3932117032546553727,20180502.0003,143,16,16,0,0,100,0,0,1,0,0.000002,0.000078,0.00031,16.02693,0.000009,16.026921,1.001683,0.000001,1.001683,16.026921,1.001683,1605.392008,1,8,0,0,1,8,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.029,0,0.03,0,30,0,7676,14679,2868,100,50,?,?,?
